mahjong;cambodia
vitamin;windsor_castle
cloud;ancient_greece
siege;engineering
polish-soviet_war;cancer
real_tennis;the_rite_of_spring
m25_motorway;azerbaijan
reptile;baseball
athena;coal
nuclear_fission;belize
super_mario_bros.;jesus
praia;sand_art_and_play
1973_oil_crisis;berkelium
musical_instrument;cambrian_explosion
old_english_language;ice_sheet
acceleration;potassium_iodide
microraptor;jordan_river
jakarta;doom
watchmen;fiction
captain_marvel_%28dc_comics%29;pi
guam;north_america
copper;bull_shark
mozambique;natural_gas
black_rhinoceros;hungary
panama_canal;calligraphy
british_english;anthony_van_dyck
epic_of_gilgamesh;babylonia
frederick_douglass;rutherford_b._hayes
google;canada
cookiecutter_shark;spain
plum;bratislava
electrical_engineering;hip_hop_music
barn_owl;sunlight
zimbabwe;market
boudica;jomsvikings
yellow_fever;anne_frank
allosaurus;bean
darfur_conflict;beetle
ska;theropoda
anarchism;applied_mathematics
giant_panda;jesus
congo_river;arctic_ocean
argyle_diamond_mine;euro
yttrium;zoroaster
kaffir_lime;supreme_court_of_the_united_states
glacier;haiti
roman_empire;sulfur
fencing;cadmium
nash_equilibrium;shark
fertilizer;library
pollinator_decline;sound
turkey;claudius
drawing;effect_of_hurricane_katrina_on_new_orleans
alcohol;antarctic_krill
saturn_v;jesse_owens
andrew_robinson;canadian_pacific_railway
democratic_action_party;battle_of_normandy
invertebrate;thomas_becket
corn_oil;battle_of_britain
aluminium_chloride;money
russian_revolution_of_1917;canada
ringed_plover;middle_ages
bismuth;aluminium_chloride
6-2-0;mary_i_of_scotland
horn_of_africa;history_of_post-soviet_russia
dog;god
mark_webber;jean-jacques_rousseau
dutch_language;carnivore
amur;celery
kansas_city%2c_missouri;henrik_ibsen
star_wars_episode_iv__a_new_hope;hungary
the_rime_of_the_ancient_mariner;solomon_islands
economics;denver%2c_colorado
astatine;j._j._thomson
history_of_arizona;funchal
tiananmen_square_protests_of_1989;pride_and_prejudice
axe;space_invaders
igneous_rock;manila
john_tyler;atlantic_ocean
common_cuckoo;drawing
president_of_the_united_states;panama
sputnik_1;dilophosaurus
montreal_metro;weather
ebony;mona_lisa
stratford-upon-avon;information
grape_seed_oil;biodiesel
geology;myanmar
mestizo;sarajevo
rock_of_gibraltar;estonia
flower;george_h._w._bush
shinto;1755_lisbon_earthquake
argon;television
the_ashes;costa_rica
tyrannosaurus;guitar
formic_acid;natural_gas
dna;parthenon
german_language;cerium
u.s._state;snow
johann_sebastian_bach;condoleezza_rice
siege;enzyme_kinetics
rugby_football;ho_chi_minh
benin;spanish_armada
john_cabot;rock_pigeon
quantum_mechanics;euclidean_geometry
pond;france_in_the_american_revolutionary_war
astrology;blitzkrieg
giant_eland;ancient_egypt
tijuana;energy
eric_clapton;mackenzie_river
microscope;rainbow
britney_spears;trinity_test
the_magic_flute;cerebellum
morocco;prime_minister_of_the_united_kingdom
saint_helena;abstract_art
inner_hebrides;citrus
kuala_lumpur;cuba
clifton_suspension_bridge;perfect_number
coal;list_of_popes
uranium;royal_navy
nostradamus;zebra
john_f._kennedy_assassination;argentina
universe;omega-3_fatty_acid
